symbol,avg_high,avg_low,avg_amplitude,max_high,max_amplitude,std_amplitude,range_high,range_low,num_records
600895,19.675921130076514,18.91218952324897,0.7637316068275456,55.6,5.269999999999996,0.6936422544586799,45.19,40.91,1699
002414,19.079917598587407,18.319711595055914,0.7602060035314894,55.75,6.979999999999997,0.7954832129114938,50.58,44.120000000000005,1699
600887,32.10881695114773,31.349117127722185,0.7596998234255444,51.85,3.8299999999999983,0.45481412026941,30.26,28.330000000000002,1699
002601,20.887863449087696,20.143902295467925,0.7439611536197763,51.68,5.080000000000005,0.6261972835504165,39.8,35.68,1699
002572,19.769517363154797,19.028304885226603,0.741212477928193,38.4,3.379999999999999,0.4481988690182184,25.839999999999996,23.9,1699
600547,27.099734982332155,26.360736160188456,0.7389988221436986,52.0,4.950000000000003,0.5078525297654721,35.04,33.870000000000005,1698
000400,19.58297233666863,18.84398469688052,0.7389876397881107,37.6,4.890000000000001,0.5362924291784614,29.740000000000002,26.31,1699
IBKR,25.919779777758077,25.190324977058822,0.729454800699262,73.25975116024404,7.029073546371947,0.6977562262313513,64.17930407967243,63.21915560599582,1507
WMB,32.12025862946878,31.39532531373243,0.7249333157363437,65.01200174474353,5.198079935465451,0.5071793488604988,56.79634088822587,57.02880706313944,1507
002497,16.81062978222484,16.092018834608595,0.7186109476162449,45.06,4.989999999999998,0.6564310920401638,39.230000000000004,35.559999999999995,1699
600258,19.158410829899942,18.444732195409063,0.713678634490877,29.91,3.1900000000000013,0.43278605793732267,18.67,17.020000000000003,1699
600690,24.242604596346492,23.53311726576311,0.7094873305833824,35.95,3.25,0.4040883101390678,22.450000000000003,20.880000000000003,1697
002001,23.97206592113008,23.27029429075927,0.7017716303708064,46.35,3.759999999999998,0.5010447985622879,31.87,30.099999999999998,1699
000738,20.707163037080637,20.00603884638022,0.7011241907004119,31.71,3.3000000000000007,0.4533003380387186,20.1,20.06,1699
300068,15.126883116883118,14.426044864226682,0.7008382526564345,31.29,5.640000000000001,0.5856532542113766,23.9,21.61,1694
603568,22.854384932313128,22.158251912889934,0.6961330194231902,40.88,4.170000000000002,0.4655152732739608,25.730000000000004,24.400000000000002,1699
600498,21.553772807533843,20.860865214832256,0.6929075927015892,41.95,5.93,0.5452315827301171,29.560000000000002,27.379999999999995,1699
600332,31.300606238964093,30.608864037669218,0.6917422012948793,45.88,5.350000000000001,0.48060674025465266,21.19,19.279999999999998,1699
601088,27.84695085849615,27.16261693309651,0.6843339253996449,47.5,6.729999999999997,0.4538314460768869,33.0,30.93,1689
600549,19.469682165979993,18.786380223660977,0.6833019423190111,44.14,4.189999999999998,0.5105811390281157,33.16,30.89,1699
EXC,34.56326348639315,33.882369527538884,0.680893958854263,48.09008920134118,3.9614724135752404,0.3583086603057679,29.56455097122113,30.383698332269113,1507
FE,35.191467686525705,34.5154598143235,0.6760078722022056,47.7323971537487,6.372513075254645,0.4509532945004917,25.94287715002192,28.971572199927298,1507
HRL,36.165538040351464,35.4919344797755,0.6736035605759616,48.46139647576647,5.021298180604042,0.41770259950818184,27.202953883208473,27.063508075898355,1507
600741,21.38381989405533,20.714067098293118,0.669752795762213,35.88,2.6400000000000006,0.42577291569012216,22.380000000000003,20.93,1699
601615,16.76163895486936,16.092149643705465,0.6694893111638955,36.03,3.6999999999999957,0.4834659118185059,29.19,28.37,1684
